Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;rezult1t
29;Ocjenjivanje rada službenika, odnosno namještenika, vrši:;Šef odjeljenja/predstojnik odjela;Samo rukovodeći državni službenika;Neposredno pretpostavljeni;Predstavnik Pododjeljenja/Pododjela za ljudske resurse;;;3
30;Tko/ko utvrđuje dinamiku ocjenjivanja rada službenika, odnosno namještenika?;Neposredno pretpostavljeni;Dogradonačelnik/zamjenik gradonačelnika;Odjeljenje/Odjel za stručne i administrativne poslove;Gradonačelnik;;;3
31;"Ukoliko je rad službenika, odnosno namještenika ocijenjen ocjenom ""ne zadovoljava očekivanja"", službenika, odnosno namještenik:";Gubi posao, odnosno raskida mu se radni odnos;Nema takve ocjene;Prolazi kroz poseban program obuke;Prebacuje se na drugo radno mjesto.     ;;;3
32;Da li postoji probni rad prilikom zasnivanja radnog odnosa na neodređeno vrijeme?;Da, u trajanju od 6 mjeseci za SSS i 12 mjeseci za VSS;Ne;Da, samo za rad na određeno vrijeme;Da, u trajanju od šest mjeseci;;;4
33;Tko/ko vrši ocjenu probnog rada:;Neposredno pretpostavljeni;Gradonačelnik;Odbor za zapošljavanje;Tročlana komisija/povjerenstvo;;;4
34;Puno radno vrijeme službenika, odnosno namještenika traje:;38 sati/časova sedmično/tjedno/nedjeljno;Nema ograničenja;42 sata/časova sedmično/tjedno/nedjeljno;40 sati/časova sedmično/tjedno/nedjeljno;;;4
35;Službenik, odnosno namještenik ima pravo na plaćeni godišnji odmor za svaku kalendarsku godinu u trajanju od:;Najmanje 16 radnih dana;Najmanje 21 radni dan;Najmanje 20 radnih dana;Najmanje 18 radnih dana;;;3
36;Službenik, odnosno namještenik koji prvi put zasnuje radni odnos u organima/tijelima javne uprave ili koji ima prekid između dva radna odnosa duži/dulji od pet radnih dana, stiče/stječe pravo na godišnji odmor nakon:;Jednog mjeseca neprekidnog rada;Dvanaest mjeseci neprekidnog rada;Šest mjeseci neprekidnog rada;Tri mjeseca neprekidnog rada;;;3
37;Godišnji odmor može se koristiti cijeli ili u dijelovima, s tim da se u tekućoj godini mora iskoristiti najmanje:;Trećina godišnjeg odmora;Polovina godišnjeg odmora;Neograničeno;Cijeli godišnji odmor;;;2
38;Za vrijeme korištenja/korišćenja neplaćenog odsustva službeniku odnosno namješteniku:;Miruju prava iz radnog odnosa;Prekida se radni odnos;Koristi sva prava iz radnog odnosa;;;;1
39;Strategiju stručnog usavršavanja službenika, odnosno namještenika donosi:;Rukovodilac organa/rukovoditelj tijela javne uprave,;Vlada;Skupština;Gradonačelnik;;;2
40;Odluku o odobravanju sredstava za stručno usavršavanje donosi:;Rukovodilac organa/rukovoditelj tijela javne uprave;Vlada;Skupština;Gradonačelnik;;;4
41;Povrede službene dužnosti mogu biti:;Fizičke;Lakše i teže;lakše;Teže;;;2
42;U koju povredu službene dužnosti spada nemaran odnos prema povjerenim vrijednostima:;Fizičku;Nije povreda;Lakšu;Težu;;;3
43;Neizvršavanje akata Vlade, gradonačelnika i rukovodioca organa/rukovoditelja tijela javne uprave spada u:;Težu povredu službene dužnosti;Lakšu i težu povredu službene dužnosti;Nije povreda;Lakšu povredu službene dužnosti;;;1
44;Rok za pokretanje disciplinskog/stegovnog postupka za lakšu povredu službene dužnosti je:;8 dana od dana prijema disciplinske prijave ili dana saznanja za povredu službene dužnosti;15 dana od dana prijema disciplinske prijave ili dana saznanja za povredu službene dužnosti;30 dana od dana prijema disciplinske prijave ili dana saznanja za povredu službene dužnosti;Nije propisan;;;2
45;Rok za pokretanje disciplinskog/stegovnog postupka za težu povredu službene dužnosti je:;8 dana od dana prijema disciplinske prijave ili dana saznanja za povredu službene dužnosti;15 dana od dana prijema disciplinske prijave ili dana saznanja za povredu službene dužnosti;30 dana od dana prijema disciplinske prijave ili dana saznanja za povredu službene dužnosti;Nije propisan;;;3
46;U postupku zbog teže povrede službene dužnosti o odgovornosti službenika, odnosno namještenika odlučuje se:;Rješenjem;Usmenim obavještenjem/obaviješću;Zaključkom;Odlukom;;;1
47;U kojem roku, od dana saznanja za počinjenu povredu i počinitelja/počinioca, zastarijeva pravo na pokretanje postupka zbog lakše povrede službene dužnosti, a kad najkasnije zastarijeva od dana kada je povreda učinjena?;U roku od 30 dana, odnosno tri mjeseca;U roku od šest mjeseci, odnosno dvije godine;U roku od tri mjeseca, odnosno godinu dana;U roku od dva mjeseca, odnosno šest mjeseci. ;;;2
48;U kojem roku, od dana saznanja za počinjenu povredu i počinitelja/počinioca, zastarijeva pravo na vođenje postupka zbog teže povrede službene dužnosti, a kad najkasnije zastarijeva od dana kada je povreda učinjena?;U roku od 30 dana, odnosno tri mjeseca;U roku od jedne godine, odnosno četiri godine;U roku od jedne godine, odnosno dvije godine;U roku od šest mjeseci, odnosno jedne godine;;;2
49;Koja kazna spada u kaznu za lakšu povredu službene dužnosti?;Prestanak radnog odnosa;Novčana kazna u visini 10 % plate/plaće službenika, odnosno namještenika isplaćene u mjesecu u kojem je kazna izrečena;Novčana kazna u visini 20 % ukupne plate/plaće isplaćene službeniku, odnosno namješteniku, u mjesecu u kojem je kazna izrečena;Novčana kazna u visini 20 % ukupne plate/plaće isplaćene službeniku, odnosno namješteniku, u mjesecu u kojem je kazna izrečena, a koja se može izreći u trajanju od jednog do šest mjeseci;;;2
50;Koja kazna spada u kaznu za težu povredu službene dužnosti?;Pismena opomena s upisom u lični/osobni formular službenika, odnosno namještenika;Novčana kazna u visini 10 % plate/plaće službenika, odnosno namještenika isplaćene u mjesecu u kojem je kazna izrečena;Novčana kazna u visini 20 % ukupne plate/plaće isplaćene službeniku, odnosno namješteniku, u mjesecu u kojem je kazna izrečena, a koja se može izreći u trajanju od jednog do šest mjeseci;Novčana kazna u visini 15 % plate/plaće službenika, odnosno namještenika isplaćene u mjesecu u kojem je kazna izrečena;;;3
51;Tko/ko gradonačelniku predlaže donošenje rješenja o proglašenju službenika odnosno namještenika prekobrojnim?;Rukovodilac organa/rukovoditelj tijela javne uprave;Apelaciona komisija/Apelacijsko povjerenstvo;Službenik, odnosno namještenik;Odjeljenje/Odjel za stručne i administrativne poslove;;;4
52;Nadzor nad primjenom Zakona o državnoj službi u organima uprave Brčko distrikta BiH ima:;Apelaciona komisija/Apelacijsko povjerenstvo;Vlada;Inspektorat;Upravni inspektor;;;4
53;Akt o promjeni Ustava Republike Srpske proglašava?;Vlada Republike Srpske;Narodna skupština Republike Srpske;Predsjednik Republike Srpske;Predsjednik Republike Srpske, zajedno sa potpredsjednicima;;;2
54;Aneksima Ustava BiH, u pogledu važenja zakona i drugih propisa, određeno je:;Zakoni i drugi propisi na snazi doneseni prije stupanja na snagu Ustava prestaju da važe;Zakoni i drugi propisi na snazi doneseni prije stupanja na snagu Ustava ostaju da važe;Zakoni i drugi propisi na snazi doneseni prije stupanja na snagu Ustava ostaju da važe u onoj mjeri u kojoj nisu u suprotnosti sa Ustavom;Zakoni i drugi propisi na snazi doneseni prije stupanja na snagu Ustava prestaju da važe ako ih ne potvrdi Parlamentarna skupština BiH.;;;3
55;Brak i odnosi u porodici/obitelji i braku, po Ustavu Republike Srpske, se:;Uređuju zakonom;Regulišu/reguliraju po uobičajenim običajima;Regulišu/reguliraju na različite načine ovisno/u zavisnosti od vjerske pripadnosti;Uređuju shodno odgovarajućim direktivama EU;;;1
56;Broj sudija/sudaca Ustavnog suda i način odlučivanja:;Ustavni sud ima deset sudija/sudaca i šest čini kvorum;Ustavni sud ima devet sudija/sudaca i šest čini kvorum;Ustavni sud ima deset sudija/sudaca i polovina/polovica čini kvorum;Ustavni sud ima devet sudija/sudaca i većina čini kvorum;;;4
57;Broj sudija/sudaca Vrhovnog suda Federacije BiH ne može biti manji od:;9 sudija/sudaca;6 sudija/sudaca;12 sudija/sudaca;8 sudija/sudaca;;;1
58;Centralna banka BiH je po Ustavu BiH jedina ovlaštena/ovlašćena institucija za:;Štampanje/tiskanje novca i monetarnu politiku na cijelom području BiH;Davanje bankarskih dozvola, odobrenje kredita, štampanje/tiskanje novca i vođenje monetarne politike;Zaduživanje u inostranstvu/inozemstvu;Odobravanje međunarodnih kredita i bankarski sistem/sustav BiH;;;1
59;Članom 8. Ustava BiH regulisano/regulirano je da prihode koji su potrebni za finansiranje/financiranje institucija BiH osiguravaju/obezbjeđuju:;Federacija BiH 50% i Republika Srpska 50%;Proporcionalno broju stanovnika u Federaciji BiH i Republici Srpskoj;Federacija BiH 2/3 i Republika Srpska 1/3 prihoda, osim ako se prihodi ne prikupljaju na način koji je utvrdila Parlamentarna skupština BiH;Prema dogovoru usvojenom od strane Vijeća ministara BiH, vlada entiteta i Međunarodnog monetarnog fonda;;;3
60;Delegate u Dom naroda Parlamentarne skupštine BiH bira:;Predstavnički/Zastupnički dom Parlamentarne skupštine BiH;Predsjedništvo BiH;Birači na izborima, neposredno sa listi kandidata konstitutivnih naroda BiH;Hrvatski odnosno bošnjački delegati u Domu naroda Federacije BiH i poslanici/zastupnici u Narodnoj skupštini RS;;;4
61;Dom naroda Parlamenta Federacije BiH sastoji se od:;58 delegata;15 delegata;36 delegata;48 delegata;;;1
62;Dom naroda Parlamentarne skupštine BiH ima 15 delegata, a kvorum čini:;najmanje 10 delegata (po tri ili četiri bošnjačka ili hrvatska i najmanje tri srpska delegata);najmanje 9 delegata (tri bošnjačka, tri hrvatska i tri srpska delegata);najmanje 8 delegata, od čega najmanje po dva bošnjačka, hrvatska ili srpska delegata;najmanje 7 delegata, od čega najmanje po dva bošnjačka, hrvatska ili srpska delegata.;;;2
63;Dom naroda Parlamentarne skupštine BiH sastoji se od:;45 delegata;58 delegata;42 delegata;15 delegata;;;4
64;Dom naroda Parlamentarne skupštine BiH se može raspustiti:;U slučaju da se Dom ne sastaje duže od šest mjeseci;Ako Dom naroda ne usvoji budžet/proračun;Odlukom Predsjedništva BiH ili od strane samog Doma naroda, pod uslovom/uvjetom utvrđenim Ustavom BiH;Ako više od 1/3 delegata izgubi mandat;;;3
65;Domovi Parlamentarne skupštine BiH mogu se raspustiti:;Od strane Predsjedništva;Dom naroda - od strane Predsjedništva ili samog Doma, dok se Predstavnički/Zastupnički dom ne može raspustiti;Predstavnički/Zastupnički dom - od strane Predsjedništva ili od samog Doma, dok se Dom naroda ne može raspustiti;Samo Dom naroda se može raspustiti i to isključivo od strane Predsjedništva;;;2
66;Entiteti imaju pravo da uspostavljaju posebne paralelne odnose sa:;Zemljama Evropske/Europske unije;Susjednim zemljama;Zemljama članicama Vijeća Evrope/Europe / Savjeta Evrope;Zemljama jugoistočne Evrope/Europe;;;2
67;Federacija BiH sastoji se od:;Federalnih jedinica (kantona/županija);Regija/regiona;Distrikta;Općina/opština;;;1
68;Funkciju civilnog zapovjednika oružanih snaga vrši:;Ministarstvo narodne odbrane/obrane;Predsjedništvo BiH, zajedno s predsjednicima entiteta;Članovi Stalnog komiteta za vojna pitanja;Svaki član Predsjedništva, po službenoj dužnosti;;;4
69;Glavni grad Federacije BiH je:;Sarajevo;Mostar;Tuzla;Zenica;;;1
70;Isto lice/osoba može biti izabrana za predsjednika ili potpredsjednika Republike, po Ustavu Republike Srpske:;Više puta, bez ograničenja;Najviše dva puta;Najviše tri puta;Najviše tri puta, od čega se jedan od mandata odnosi na funkciju potpredsjednika.;;;2
71;Izbjegla i raseljena lica/osobe, u Dejtonskom mirovnom sporazumu, se tretiraju:;Aneksom 7; Aneksom 1;Aneksom 3;Aneksom 9;;;1
72;Jedna od nadležnosti nije ustavna nadležnost Predsjedništva Bosne i Hercegovine:;Ratificiranje/ratifikovanje međunarodnih ugovora, uz pristanak Parlamentarne skupštine BiH;Izvršavanje odluka Parlamentarne skupštine BiH;Donošenje odluka o pomilovanjima, za krivična/kaznena djela iz nadležnosti BiH;Koordinacija sa međunarodnim i nevladinim organizacijama u BiH;;;3
73;Kanton/županija ne može prenijeti svoja ovlaštenja/ovlašćenja/ovlasti na:;Općinu/opštinu na svojoj teritoriji/teritoriju;Grad na svojoj teritoriji/teritoriju;Federalnu vlast;Institucije BiH;;;4
74;Ko/tko imenuje predsjedavajućeg/predsjedatelja Vijeća/Savjeta ministara BiH?;Predsjedništvo BiH;Dom naroda;Predstavnički/Zastupnički dom;Parlamentarna skupština BiH;;;1
75;Ko/tko odobrava imenovanje predsjedavajućeg/predsjedatelja Vijeća/Savjeta ministara BiH?;Predsjedništvo BiH;Dom naroda;Predstavnički/Zastupnički dom Parlamentarne skupštine BiH;Parlamentarna skupština BiH;;;3
76;Koji od navedenih poslova nisu u nadležnosti organa/tijela uprave BiH?;Izvršavanje zakona i drugih propisa;Predlaganje i davanje preporuka iz područja zakonodavstva;Donošenje propisa za provedbu/sprovođenje zakona;Donošenje zakona;;;4
77;Koliko najmanje zastupnika/poslanika iz jednog konstitutivnog naroda mora biti zastupljeno u Predstavničkom/Zastupničkom domu Parlamenta Federacije BiH?;7 zastupnika/poslanika;15 zastupnika/poslanika;24 zastupnika/poslanika;4 zastupnika/poslanika;;;4
78;Kvorum Doma naroda Parlamentarne skupštine BiH čini:;Šest članova, pod uslovom/uvjetom da su prisutna dva bošnjačka, dva srpska i dva hrvatska delegata;Devet članova, pod uslovom/uvjetom da su prisutna tri bošnjačka, tri srpska i tri hrvatska delegata;Dvanaest članova, pod uslovom/uvjetom da su prisutna četiri hrvatska, četiri bošnjačka i četiri srpska delegata;Petnaest članova, pod uslovom/uvjetom da je prisutno pet bošnjačkih, pet srpskih i pet hrvatskih delegata.;;;2
79;Kvorum Predstavničkog/Zastupničkog doma Parlamentarne skupštine BiH čini:;Većina svih članova izabranih u Predstavnički/Zastupnički dom;2/3 članova izabranih u Predstavnički/Zastupnički dom;1/2 članova izabranih u Predstavnički/Zastupnički dom;38 zastupnika/poslanika iz Predstavničkog/Zastupničkog doma;;;1
80;Mandat članova Predsjedništva BiH traje:;Četiri godine;Dvije godine;Šest godina;Sedam godina;;;1
81;Mandat predsjednika i potpredsjednika Federacije BiH traje:;5 godina;6 godina;2 godine;4 godine;;;4
82;Mandat prvog saziva Ustavnog suda BiH trajao je:;Tri godine;Deset godina;Šest godina;Pet godina;;;4
83;Mandat sudija/sudaca Ustavnog suda BiH traje do:;Navršenih 80 godina života sudije/suca;Navršenih 65 godina života sudije/suca;Navršenih 70 godina života sudije/suca;Navršenih 60 godina života sudije/suca;;;3
84;Mandat zastupnika/poslanika u Predstavničkom/Zastupničkom domu Parlamenta FBiH traje:;Četiri godine;Pet godina;Šest godina;Dvije godine;;;1
85;Na cjelokupnoj teritoriji/teritoriju BiH, njenim entitetima i kantonima/županijama ima ukupno:;Tri ustava;Trinaest ustava;Pet ustava;Petnaest ustava;;;2
86;Način izbora sudija/sudaca Ustavnog suda BiH nakon prvih pet godina reguliše/regulira se:;Isključivo Ustavom BiH;Parlamentarna skupština BiH zakonom utvrđuje način imenovanja svih sudija/sudaca suda;Ustavom BiH, s tim što Parlamentarna skupština BiH može zakonom predvidjeti drugačiji način izbora sudija/sudaca koje bira predsjednik Evropskog/Europskog suda za ljudska prava;Ustavom BiH, s tim što Parlamentarna skupština BiH može zakonom predvidjeti drugačiji način izbora sudija/sudaca koji nisu strani državljani.;;;3
87;Najviši žalbeni sud u Federaciji BiH je:;Ustavni sud Federacije BiH;Ustavni sud BiH;Vrhovni sud Federacije BiH;Sud BiH;;;3
88;Narodna skupština RS ima:;98 narodnih poslanika/zastupnika, od toga najmanje sedam članova jednog konstitutivnog naroda;120 narodnih poslanika/zastupnika;63 poslanika/zastupnika, od toga najmanje pet članova jednog konstitutivnog naroda;83 narodna poslanika/zastupnika, od toga najmanje četiri člana jednog konstitutivnog naroda;;;4
89;Obaveza/obveza plaćanja poreza i drugih dažbina, po Ustavu Republike Srpske je:;Opšta/opća i utvrđuje se prema ekonomskoj snazi obveznika;Rezervisana/rezervirana samo za osobe/lica boljeg imovnog stanja;Rezultat sporazuma Vlade RS i sindikata;Srazmjerna vlasničkom udjelu u imovini;;;1
90;Odluke domova Parlamentarne skupštine BiH donose se (nakon usaglašavanja/usuglašavanja):;Većinom glasova članova/delegata koji su prisutni i glasaju/glasuju, pod uslovom/uvjetom da protiv ne glasaju/glasuju 2/3 ili više članova - delegata iz svakog entiteta;Većinom glasova članova - delegata koji su prisutni i glasaju/glasuju, pod uslovom/uvjetom da protiv ne glasaju/glasuju više od polovine članova - delegata iz jednog konstitutivnog naroda;Većinom glasova članova - delegata koji su prisutni i glasaju/glasuju;Dvotrećinskom većinom glasova članova - delegata koji su prisutni i glasaju/glasuju;;;1
91;Odluke Parlamentarne skupštine BiH stupaju na snagu:;Danom donošenja;Nakon što budu objavljene;Nakon što ih usvoji Predsjedništvo BiH;Nakon što ih usvoji Dom naroda PSBiH;;;2
92;Odluke Vijeća/Savjeta ministara BiH donesene u skladu s njegovim nadležnostima su:;Ob(a)vezujuće za organe i druga tijela vlasti u BiH, ako ih potvrdi zakonodavno tijelo;Ob(a)vezujuće za organe i druga tijela vlasti u BiH;Nisu ob(a)vezujuće za organe i druga tijela vlasti u BiH;Ob(a)vezujuće za organe i druga tijela vlasti u BiH, ako ih potvrdi izvršno tijelo;;;2
93;Odluke, rješenja i drugi akti Vijeća/Savjeta ministara BiH stupaju na snagu:;Danom donošenja, osim ako Vijeće/Savjet ministara BiH ne odluči drugačije;"Danom objavljivanja u ""Službenom glasniku BiH""";"U roku od 8 dana od dana objavljivanja u ""Službenom glasniku BiH""";U roku od 8 dana od dana donošenja;;;1
94;Odluku o saglasnosti/suglasnosti za ratifikaciju ugovora donosi:;Predsjedništvo BiH;Parlamentarna skupština BiH;Stalni komitet BiH;Vijeće/Savjet ministara BiH.;;;2
95;Odnosi Vijeća/Savjeta ministara BiH sa Parlamentarnom skupštinom BiH određeni su:;Ustavom BiH, Zakonom o Vijeću/Savjetu ministara BiH, Poslovnikom o radu Vijeća/Savjeta ministara BiH i poslovnicima oba doma Parlamentarne skupštine BiH;Poslovnikom o radu Vijeća/Savjeta ministara BiH;Zakonom o upravi;Zakonom o ministarstvima i drugim tijelima/organima uprave BiH;;;1
96;Odobravanje budžeta/proračuna institucija BiH i međunarodnih obaveza/obveza BiH je u nadležnosti:;Predsjedništva BiH;Vijeća/Savjeta ministara BiH;Parlamentarne skupštine BiH;Međunarodnog monetarnog fonda;;;3
97;Parlamentarna skupština BiH ima ukupno poslanika/zastupnika (delegata):;57;42;31;64;;;1
98;Po Ustavu BiH, Vijeće/Savjet ministara BiH čine:;Predsjedavajući/predsjedatelj, zamjenici predsjedavajućeg/predsjedatelja i ministri;Predsjedavajući/predsjedatelj, zamjenici predsjedavajućeg/predsjedatelja, ministri i zamjenici ministara;Predsjedavajući/predsjedatelj, ministri i zamjenici ministara;Predsjedavajući/predsjedatelj i ministri;;;4
99;Po Ustavu Republike Srpske djeca, trudnice i stara lica/osobe imaju pravo na zdravstvenu zaštitu iz:;Javnih prihoda;Sredstava koja se ostvare donacijama;"Penzijskog/mirovinskog fonda i fonda za borbu protiv ""bijele kuge""";Doznaka iz inostranstva/inozemstva;;;1
100;Po Ustavu Republike Srpske ekonomsko i socijalno uređenje zasniva/temelji se:;Prioritetno na državnoj svojini/vlasništvu;Na privatnoj svojini/vlasništvu;Na ravnopravnosti svih oblika svojine/vlasništva;Na kombinaciji stranih ulaganja do odobrenih od Vlade RS i domaćih sredstava;;;3
101;Po Ustavu Republike Srpske finansiranje/financiranje javnih službi se vrši:;Iz sredstava fondacija i donacija;Isključivo preko fondova;Isključivo preko budžeta/proračuna i kreditnih zaduženja u skladu sa zakonom;Preko fondova i budžeta/proračuna, u skladu sa zakonom;;;4
102;Po Ustavu Republike Srpske kada su u pitanju svojinska/vlasnička prava na nepokretnost/nekretninu?;Garantuje/jamči se svojina/vlasništvo na poljoprivredno zemljište, a na šume i šumsko zemljište u zakonom utvrđenim granicama;Garantuje/jamči se svojina/vlasništvo bez ograničenja;Garantuje/jamči se svojina/vlasništvo do 100 hektara poljoprivrednog zemljišta, a do 150 hektara šume ili šumskog zemljišta;Garantuje/jamči se svojina/vlasništvo na šume i šumsko zemljište, a na poljoprivredno zemljište u zakonom utvrđenim granicama.;;;1
103;Po Ustavu Republike Srpske ko/tko se ogriješio o ljudska prava i osnovne/temeljne slobode zagarantovane/zajamčene Ustavom:;Neće lično/osobno odgovarati, ako nisu nastupile velike štetne posljedice;Neće lično/osobno odgovarati, ako mu je to neko/netko naredio;Lično/osobno je odgovoran za to i ne može se pravdati ničijim naređenjem;Odgovoran je lično/osobno i po komandnoj odgovornosti;;;3
104;Po Ustavu Republike Srpske obavezno/obvezno i besplatno je:;Predškolsko obrazovanje;Osnovno školovanje;Srednjoškolsko školovanje;Visokoškolsko školovanje uz odgovarajući prosjek ocjena;;;2
105;Po Ustavu Republike Srpske, predsjednika Republike Srpske u slučaju privremene spriječenosti da obavlja svoju funkciju zamjenjivat će:;Potpredsjednik koji je dobio više glasova na izborima;Potpredsjednik čija partija/stranka ima više narodnih poslanika/zastupnika;Potpredsjednik koji je na redu po sistemu/sustavu rotacije;Potpredsjednik kojeg odredi predsjednik;;;4
106;Po Ustavu Republike Srpske prinudni rad je:;Dozvoljen u slučaju da se proizvodi za izvoz;Dozvoljen, ako prijeti elementarna nepogoda;Dozvoljen, ako je u skladu sa kolektivnim ugovorom;Zabranjen;;;4
107;Po Ustavu Republike Srpske privatnici mogu osnivati privatne škole:;Ako se osnivaju uz učešće/udjel stranog kapitala;Ako se osnivaju u skladu s direktivama EU;Uz prethodnu suglasnost/saglasnost OHR-a i OSCE-a / OEBS-a;U skladu sa zakonom;;;4
108;Po Ustavu Republike Srpske, Republici Srpskoj pripadaju sve državne funkcije i nadležnosti:;Koje joj odobre članice Vijeća sigurnosti/Savjeta bezbjednosti UN-a;Koje su joj odobrene od strane Vijeća/Savjeta za implementaciju mira;O kojima je postigla dogovor sa Federacijom BiH i Brčko distriktom BiH;Osim onih koje su po Ustavu BiH izričito prenesene na institucije Bosne i Hercegovine;;;4
